,ZipCode,Weighted 3 Year Average API
0,10025,590.0
1,10028,706.0
2,10457,643.0
3,10472,611.0
4,11237,638.0
5,11239,479.0
6,11385,777.0
7,19145,761.0
8,20740,655.0
9,21040,817.0
10,21090,730.0
11,23223,753.0
12,23323,513.0
13,24517,633.0
14,26047,517.0
15,27030,780.0
16,27215,647.0
17,27705,629.0
18,27707,580.0
19,28445,744.0
20,30044,727.0
21,30046,574.5
22,30097,773.0
23,30309,599.0
24,30345,774.0
25,32259,537.0
26,32811,478.0
27,33426,612.0
28,34116,479.0
29,34452,492.0
30,34760,944.0
31,36022,728.0
32,36608,722.0
33,38106,874.2
34,38301,910.0
35,43202,517.0
36,44112,584.0
37,44115,550.0
38,44145,900.0
39,46032,868.0
40,46202,619.0
41,47303,493.0
42,48104,640.0
43,48220,752.0
44,48235,596.0
45,49442,836.0
46,52402,549.0
47,64075,705.0
48,64105,615.0
49,64118,916.0
50,65772,747.0
51,66045,777.0
52,66720,400.0
53,66853,743.0
54,67301,731.1428571428571
55,70121,760.0
56,71405,701.0
57,73737,528.0
58,74003,617.0
59,74022,531.0
60,74107,904.0
61,74127,422.0
62,74133,543.0
63,74136,536.0
64,74370,488.0
65,74401,452.0
66,74601,493.0
67,75202,571.0
68,75455,711.0
69,76039,742.0
70,76110,787.0
71,77058,795.0
72,78213,676.0
73,78702,625.0
74,78750,683.0
75,80137,551.0
76,80229,512.0
77,82431,592.0
78,83221,586.6666666666666
79,83814,787.0
80,84088,534.0
81,84312,806.0
82,84337,692.0
83,85007,609.0
84,85204,643.5
85,85302,566.5
86,85719,912.0
87,85925,548.0
88,87114,719.0
89,89014,590.0
90,89031,529.0
91,89506,540.0
92,90001,796.0
93,90002,515.0
94,90003,621.0
95,90004,690.6666666666666
96,90005,671.25
97,90007,776.6666666666666
98,90008,682.0
99,90011,649.1666666666666
100,90012,767.5
101,90015,763.0
102,90016,533.5
103,90017,610.4
104,90018,756.0
105,90019,642.0
106,90021,682.0
107,90022,708.0
108,90023,742.0
109,90025,701.5
110,90026,592.5
111,90027,728.0
112,90028,643.3333333333334
113,90031,658.25
114,90032,693.0
115,90033,639.3333333333334
116,90034,652.0
117,90035,900.0
118,90036,602.0
119,90037,649.6666666666666
120,90041,765.0
121,90042,673.75
122,90043,649.5
123,90044,655.0
124,90045,754.0
125,90046,669.0
126,90047,578.6666666666666
127,90057,520.0
128,90059,729.5
129,90061,657.0
130,90063,605.875
131,90064,771.0
132,90065,881.5
133,90066,669.5
134,90071,798.0
135,90201,698.0
136,90212,868.0
137,90220,592.0
138,90221,642.0
139,90222,572.0
140,90230,676.5
141,90241,708.6666666666666
142,90242,632.0
143,90245,780.5
144,90248,660.75
145,90250,700.5
146,90254,647.0
147,90255,682.5
148,90260,677.0
149,90262,602.5
150,90265,872.0
151,90266,912.0
152,90270,684.0
153,90272,845.0
154,90274,778.3333333333334
155,90277,711.5
156,90280,625.6
157,90291,775.0
158,90301,695.5
159,90303,626.0
160,90304,785.0
161,90305,788.0
162,90405,816.0
163,90501,677.5
164,90601,772.0
165,90604,754.3333333333334
166,90605,629.3333333333334
167,90620,862.0
168,90621,758.0
169,90630,946.0
170,90631,795.0
171,90638,779.0
172,90640,617.5
173,90650,692.5
174,90660,655.5
175,90670,811.0
176,90703,744.8
177,90706,649.5
178,90710,699.0
179,90712,651.0
180,90713,771.5
181,90715,777.0
182,90720,884.0
183,90723,731.0
184,90731,664.25
185,90732,762.0
186,90744,708.0
187,90745,587.5
188,90747,971.0
189,90804,759.0
190,90805,644.0
191,90807,603.0
192,90810,659.3333333333334
193,90813,719.25
194,90815,755.0
195,91007,891.0
196,91010,602.5
197,91011,936.0
198,91016,710.5
199,91030,890.0
200,91042,685.0
201,91101,484.0
202,91103,635.0
203,91104,765.0
204,91106,710.0
205,91107,647.25
206,91108,937.0
207,91205,775.0
208,91206,563.0
209,91207,652.0
210,91214,869.0
211,91301,869.0
212,91302,871.0
213,91303,626.0
214,91311,612.0
215,91320,872.0
216,91321,832.0
217,91325,753.0
218,91331,684.0
219,91335,737.3333333333334
220,91340,590.0
221,91342,643.3333333333334
222,91343,596.0
223,91344,718.5
224,91350,729.0
225,91351,712.0
226,91352,611.0
227,91355,821.6
228,91360,823.0
229,91362,702.0
230,91364,623.6666666666666
231,91367,823.0
232,91377,643.3333333333334
233,91381,854.0
234,91401,538.3333333333334
235,91402,637.0
236,91405,648.0
237,91406,703.0
238,91411,604.0
239,91502,825.0
240,91505,550.0
241,91506,733.6666666666666
242,91601,655.6666666666666
243,91602,576.0
244,91605,612.5
245,91701,816.5
246,91702,720.0
247,91706,602.0
248,91709,828.0
249,91710,628.5
250,91711,680.25
251,91722,631.5
252,91723,773.0
253,91724,773.0
254,91730,495.0
255,91731,713.0
256,91732,540.0
257,91733,743.0
258,91737,843.0
259,91739,809.0
260,91740,547.0
261,91741,837.0
262,91744,698.0
263,91745,702.6
264,91746,705.0
265,91748,834.0
266,91750,857.0
267,91752,706.0
268,91754,590.0
269,91761,742.0
270,91762,732.0
271,91763,739.0
272,91764,526.0
273,91765,876.0
274,91766,703.6666666666666
275,91767,610.0
276,91768,766.0
277,91770,793.0
278,91773,722.5
279,91776,777.6666666666666
280,91780,882.0
281,91786,782.0
282,91789,890.0
283,91791,730.6666666666666
284,91801,825.0
285,91910,794.0
286,91911,621.8333333333334
287,91913,803.0
288,91915,802.5
289,91932,752.0
290,91941,798.0
291,91944,781.0
292,91950,792.0
293,91962,682.0
294,91977,682.0
295,91978,794.0
296,92004,727.0
297,92008,756.3333333333334
298,92009,836.0
299,92019,817.0
300,92020,611.0
301,92021,659.0
302,92024,760.6666666666666
303,92025,754.6666666666666
304,92026,743.0
305,92027,656.5
306,92028,690.75
307,92036,788.0
308,92037,874.5
309,92040,688.0
310,92054,759.0
311,92056,602.0
312,92057,812.5
313,92064,705.5
314,92065,590.0
315,92069,588.3333333333334
316,92071,808.0
317,92078,738.2
318,92081,788.0
319,92082,706.0
320,92083,691.5
321,92084,655.0
322,92086,734.0
323,92101,700.5714285714286
324,92102,630.0
325,92105,730.0
326,92106,793.75
327,92108,677.0
328,92109,693.0
329,92110,784.0
330,92111,692.5
331,92114,722.0
332,92115,641.3333333333334
333,92117,763.3333333333334
334,92118,874.0
