County Code,District Code,School Code,Filler,Test Year,Subgroup ID,Test Type,Total Tested At Entity Level,Total Tested with Scores,Grade,Test Id,CAASPP Reported Enrollment,Students Tested,Mean Scale Score,Percentage Level 3,Percentage Level 2,Percentage Level 1,Students with Scores
0,0,0,,2018,1,A,36220,36220,3,3,5518,5102,339.8,21.36,27.81,50.82,5102
0,0,0,,2018,1,A,36136,36136,3,4,5518,5101,334.6,7.98,29.7,62.32,5101
0,0,0,,2018,1,A,36136,36136,4,4,5710,5309,433.7,8.27,26.37,65.36,5309
0,0,0,,2018,1,A,36220,36220,4,3,5710,5324,438.3,18.33,26.65,55.02,5324
0,0,0,,2018,1,A,36220,36220,5,3,5766,5330,538.9,18.54,30.15,51.31,5330
0,0,0,,2018,1,A,36136,36136,5,4,5766,5319,534.7,8.52,28.54,62.94,5319
0,0,0,,2018,1,A,36136,36136,6,4,5887,5366,634.7,7.23,25.94,66.83,5366
0,0,0,,2018,1,A,36220,36220,6,3,5887,5386,638.7,11.03,34.72,54.25,5386
0,0,0,,2018,1,A,36136,36136,7,4,5969,5375,735.1,7.2,27.39,65.41,5375
0,0,0,,2018,1,A,36220,36220,7,3,5969,5383,738.3,17.93,26.84,55.23,5383
0,0,0,,2018,1,A,36136,36136,8,4,5808,5229,834.5,6.69,29.24,64.07,5229
0,0,0,,2018,1,A,36220,36220,8,3,5808,5238,840,12.85,38.91,48.24,5238
0,0,0,,2018,1,A,36220,36220,11,3,5330,4457,942.8,21.25,34.91,43.84,4457
0,0,0,,2018,1,A,36136,36136,11,4,5330,4437,935.5,9.38,25.58,65.04,4437
0,0,0,,2018,1,A,36220,36220,13,3,39988,36220,,17.21,31.35,51.44,36220
0,0,0,,2018,1,A,36136,36136,13,4,39988,36136,,7.86,27.57,64.58,36136
1,0,0,,2018,1,A,1324,1324,3,3,193,185,335.2,19.46,27.03,53.51,185
1,0,0,,2018,1,A,1320,1320,3,4,193,185,331.7,8.11,30.27,61.62,185
1,0,0,,2018,1,A,1320,1320,4,4,214,204,432.9,7.84,24.02,68.14,204
1,0,0,,2018,1,A,1324,1324,4,3,213,205,437.4,14.15,32.2,53.66,205
1,0,0,,2018,1,A,1324,1324,5,3,190,178,537.7,19.1,26.4,54.49,178
1,0,0,,2018,1,A,1320,1320,5,4,190,177,535,9.04,31.07,59.89,177
1,0,0,,2018,1,A,1320,1320,6,4,216,193,633.9,9.84,22.8,67.36,193
1,0,0,,2018,1,A,1324,1324,6,3,216,193,637.2,15.03,27.98,56.99,193
1,0,0,,2018,1,A,1324,1324,7,3,227,202,733.1,14.85,21.78,63.37,202
1,0,0,,2018,1,A,1320,1320,7,4,227,203,731,5.91,21.18,72.91,203
1,0,0,,2018,1,A,1320,1320,8,4,196,171,831.5,7.02,25.73,67.25,171
1,0,0,,2018,1,A,1324,1324,8,3,196,173,834.5,9.83,21.39,68.79,173
1,0,0,,2018,1,A,1324,1324,11,3,218,188,943.3,22.87,33.51,43.62,188
1,0,0,,2018,1,A,1320,1320,11,4,218,187,937.1,13.37,22.46,64.17,187
1,0,0,,2018,1,A,1320,1320,13,4,1454,1320,,8.71,25.23,66.06,1320
1,0,0,,2018,1,A,1324,1324,13,3,1453,1324,,16.47,27.27,56.27,1324
1,10017,0,,2018,1,A,*,*,11,4,*,*,*,*,*,*,*
1,10017,0,,2018,1,A,*,*,11,3,*,*,*,*,*,*,*
1,10017,0,,2018,1,A,*,*,13,3,*,*,,*,*,*,*
1,10017,0,,2018,1,A,*,*,13,4,*,*,,*,*,*,*
1,10017,123968,,2018,1,A,*,*,3,3,*,*,*,*,*,*,*
1,10017,123968,,2018,1,A,*,*,3,4,*,*,*,*,*,*,*
1,10017,123968,,2018,1,A,*,*,4,4,*,*,*,*,*,*,*
1,10017,123968,,2018,1,A,*,*,4,3,*,*,*,*,*,*,*
1,10017,123968,,2018,1,A,*,*,5,3,*,*,*,*,*,*,*
1,10017,123968,,2018,1,A,*,*,5,4,*,*,*,*,*,*,*
1,10017,123968,,2018,1,A,*,*,13,4,*,*,,*,*,*,*
1,10017,123968,,2018,1,A,*,*,13,3,*,*,,*,*,*,*
1,10017,125567,,2018,1,A,*,*,4,4,*,*,*,*,*,*,*
1,10017,125567,,2018,1,A,*,*,4,3,*,*,*,*,*,*,*
1,10017,125567,,2018,1,A,*,*,5,3,*,*,*,*,*,*,*
1,10017,125567,,2018,1,A,*,*,5,4,*,*,*,*,*,*,*
1,10017,125567,,2018,1,A,*,*,6,4,*,*,*,*,*,*,*
1,10017,125567,,2018,1,A,*,*,6,3,*,*,*,*,*,*,*
1,10017,125567,,2018,1,A,*,*,13,3,*,*,,*,*,*,*
1,10017,125567,,2018,1,A,*,*,13,4,*,*,,*,*,*,*
1,10017,130401,,2018,1,A,*,*,11,3,*,*,*,*,*,*,*
1,10017,130401,,2018,1,A,*,*,11,4,*,*,*,*,*,*,*
1,10017,130401,,2018,1,A,*,*,13,4,*,*,,*,*,*,*
1,10017,130401,,2018,1,A,*,*,13,3,*,*,,*,*,*,*
1,10017,131581,,2018,1,A,*,*,6,4,*,*,*,*,*,*,*
1,10017,131581,,2018,1,A,*,*,6,3,*,*,*,*,*,*,*
1,10017,131581,,2018,1,A,*,*,13,3,*,*,,*,*,*,*
1,10017,131581,,2018,1,A,*,*,13,4,*,*,,*,*,*,*
1,10017,6001788,,2018,1,A,*,*,4,3,*,*,*,*,*,*,*
1,10017,6001788,,2018,1,A,*,*,4,4,*,*,*,*,*,*,*
1,10017,6001788,,2018,1,A,*,*,5,4,*,*,*,*,*,*,*
1,10017,6001788,,2018,1,A,*,*,5,3,*,*,*,*,*,*,*
1,10017,6001788,,2018,1,A,*,*,13,3,*,*,,*,*,*,*
1,10017,6001788,,2018,1,A,*,*,13,4,*,*,,*,*,*,*
1,10017,6002000,,2018,1,A,*,*,4,4,*,*,*,*,*,*,*
1,10017,6002000,,2018,1,A,*,*,4,3,*,*,*,*,*,*,*
1,10017,6002000,,2018,1,A,*,*,5,3,*,*,*,*,*,*,*
1,10017,6002000,,2018,1,A,*,*,5,4,*,*,*,*,*,*,*
