County Code,District Code,School Code,Filler,Test Year,Type Id,County Name,District Name,Zip Code
50,71167,6052658,,2018,7,Stanislaus,Modesto City Elementary,95354
50,71167,6052708,,2018,7,Stanislaus,Modesto City Elementary,95350
50,71167,6052716,,2018,7,Stanislaus,Modesto City Elementary,95350
50,71167,6052724,,2018,7,Stanislaus,Modesto City Elementary,95350
50,71167,6052773,,2018,7,Stanislaus,Modesto City Elementary,95351
50,71167,6052807,,2018,7,Stanislaus,Modesto City Elementary,95350
50,71167,6093512,,2018,7,Stanislaus,Modesto City Elementary,95355
50,71167,6110068,,2018,7,Stanislaus,Modesto City Elementary,95358
50,71175,0,,2018,6,Stanislaus,Modesto City High,     
50,71175,121129,,2018,7,Stanislaus,Modesto City High,95356
50,71175,5030010,,2018,7,Stanislaus,Modesto City High,95355
50,71175,5030135,,2018,7,Stanislaus,Modesto City High,95357
50,71175,5031802,,2018,7,Stanislaus,Modesto City High,95355
50,71175,5071175,,2018,7,Stanislaus,Modesto City High,95351
50,71217,0,,2018,6,Stanislaus,Patterson Joint Unified,     
50,71217,110080,,2018,7,Stanislaus,Patterson Joint Unified,95363
50,71217,5036256,,2018,7,Stanislaus,Patterson Joint Unified,95363
50,71217,5071217,,2018,7,Stanislaus,Patterson Joint Unified,95363
50,71217,6052948,,2018,7,Stanislaus,Patterson Joint Unified,95363
50,71217,6060297,,2018,7,Stanislaus,Patterson Joint Unified,95363
50,71266,0,,2018,6,Stanislaus,Salida Union Elementary,     
50,71266,133660,,2018,7,Stanislaus,Salida Union Elementary,95356
50,71266,6053037,,2018,7,Stanislaus,Salida Union Elementary,95368
50,71266,6106934,,2018,7,Stanislaus,Salida Union Elementary,95368
50,71266,6113823,,2018,7,Stanislaus,Salida Union Elementary,95368
50,71266,6120844,,2018,7,Stanislaus,Salida Union Elementary,95368
50,71282,0,,2018,6,Stanislaus,Stanislaus Union Elementary,     
50,71282,105700,,2018,7,Stanislaus,Stanislaus Union Elementary,95350
50,71282,6053060,,2018,7,Stanislaus,Stanislaus Union Elementary,95350
50,71282,6067250,,2018,7,Stanislaus,Stanislaus Union Elementary,95350
50,71282,6108302,,2018,7,Stanislaus,Stanislaus Union Elementary,95356
50,71290,0,,2018,6,Stanislaus,Sylvan Union Elementary,     
50,71290,108761,,2018,7,Stanislaus,Sylvan Union Elementary,95355
50,71290,5071290,,2018,7,Stanislaus,Sylvan Union Elementary,95350
50,71290,6053086,,2018,7,Stanislaus,Sylvan Union Elementary,95350
50,71290,6053094,,2018,7,Stanislaus,Sylvan Union Elementary,95350
50,71290,6053102,,2018,7,Stanislaus,Sylvan Union Elementary,95350
50,71290,6053110,,2018,7,Stanislaus,Sylvan Union Elementary,95355
50,71290,6095517,,2018,7,Stanislaus,Sylvan Union Elementary,95355
50,71290,6111009,,2018,7,Stanislaus,Sylvan Union Elementary,95355
50,71290,6111017,,2018,7,Stanislaus,Sylvan Union Elementary,95355
50,71290,6120430,,2018,7,Stanislaus,Sylvan Union Elementary,95355
50,73601,0,,2018,6,Stanislaus,Newman-Crows Landing Unified,     
50,73601,101188,,2018,7,Stanislaus,Newman-Crows Landing Unified,95360
50,73601,5035902,,2018,7,Stanislaus,Newman-Crows Landing Unified,95360
50,73601,6025753,,2018,7,Stanislaus,Newman-Crows Landing Unified,95360
50,73601,6025761,,2018,7,Stanislaus,Newman-Crows Landing Unified,95360
50,75549,0,,2018,6,Stanislaus,Hughson Unified,     
50,75549,101030,,2018,7,Stanislaus,Hughson Unified,95326
50,75549,6052567,,2018,7,Stanislaus,Hughson Unified,95326
50,75556,0,,2018,6,Stanislaus,Riverbank Unified,     
50,75556,6052989,,2018,7,Stanislaus,Riverbank Unified,95367
50,75564,0,,2018,6,Stanislaus,Oakdale Joint Unified,     
50,75564,107979,,2018,7,Stanislaus,Oakdale Joint Unified,95361
50,75564,5035654,,2018,7,Stanislaus,Oakdale Joint Unified,95361
50,75564,5075564,,2018,7,Stanislaus,Oakdale Joint Unified,95361
50,75564,6052880,,2018,7,Stanislaus,Oakdale Joint Unified,95361
50,75564,6052898,,2018,7,Stanislaus,Oakdale Joint Unified,95361
50,75564,6052906,,2018,7,Stanislaus,Oakdale Joint Unified,95361
50,75564,6100390,,2018,7,Stanislaus,Oakdale Joint Unified,95361
50,75572,0,,2018,6,Stanislaus,Waterford Unified,     
50,75572,117770,,2018,7,Stanislaus,Waterford Unified,95386
50,75572,118513,,2018,7,Stanislaus,Waterford Unified,95386
50,75572,5030259,,2018,7,Stanislaus,Waterford Unified,95386
50,75572,5030317,,2018,9,Stanislaus,Connecting Waters Charter,95386
50,75572,6053219,,2018,7,Stanislaus,Waterford Unified,95386
50,75739,0,,2018,6,Stanislaus,Turlock Unified,     
50,75739,108175,,2018,7,Stanislaus,Turlock Unified,95382
50,75739,5030283,,2018,7,Stanislaus,Turlock Unified,95382
50,75739,5075739,,2018,7,Stanislaus,Turlock Unified,95380
50,75739,6053136,,2018,7,Stanislaus,Turlock Unified,95382
50,75739,6053151,,2018,7,Stanislaus,Turlock Unified,95382
50,75739,6053169,,2018,7,Stanislaus,Turlock Unified,95380
50,75739,6053177,,2018,7,Stanislaus,Turlock Unified,95380
50,75739,6102743,,2018,7,Stanislaus,Turlock Unified,95382
50,75739,6115208,,2018,7,Stanislaus,Turlock Unified,95382
50,75739,6118814,,2018,7,Stanislaus,Turlock Unified,95380
51,0,0,,2018,5,Sutter,,     
51,10512,0,,2018,6,Sutter,Sutter County Office Of Education,     
51,10512,6069454,,2018,7,Sutter,Sutter County Office Of Education,95993
51,71399,0,,2018,6,Sutter,Live Oak Unified,     
51,71399,6053284,,2018,7,Sutter,Live Oak Unified,95953
51,71407,109793,,2018,9,Sutter,South Sutter Charter,95659
51,71415,129007,,2018,9,Sutter,California Virtual Academy At Sutter,93065
51,71423,132977,,2018,9,Sutter,Sutter Peak Charter Academy,95953
51,71456,133934,,2018,9,Sutter,Inspire Charter School - North,95957
51,71464,0,,2018,6,Sutter,Yuba City Unified,     
51,71464,100537,,2018,7,Sutter,Yuba City Unified,95993
51,71464,107722,,2018,7,Sutter,Yuba City Unified,95993
51,71464,113134,,2018,7,Sutter,Yuba City Unified,95991
51,71464,5139001,,2018,7,Sutter,Yuba City Unified,95991
51,71464,5171464,,2018,7,Sutter,Yuba City Unified,95991
51,71464,6053359,,2018,7,Sutter,Yuba City Unified,95991
51,71464,6053383,,2018,7,Sutter,Yuba City Unified,95991
51,71464,6053391,,2018,7,Sutter,Yuba City Unified,95991
51,71464,6053441,,2018,7,Sutter,Yuba City Unified,95993
52,0,0,,2018,5,Tehama,,     
52,10520,0,,2018,6,Tehama,Tehama County Department Of Education,     
52,10520,6069462,,2018,7,Tehama,Tehama County Department Of Education,96080
52,71472,0,,2018,6,Tehama,Antelope Elementary,     
52,71472,5271472,,2018,7,Tehama,Antelope Elementary,96080
52,71472,6053466,,2018,7,Tehama,Antelope Elementary,96080
52,71498,0,,2018,6,Tehama,Corning Union Elementary,     
52,71498,5271498,,2018,7,Tehama,Corning Union Elementary,96021
52,71498,6053482,,2018,7,Tehama,Corning Union Elementary,96021
52,71498,6053490,,2018,7,Tehama,Corning Union Elementary,96021
52,71498,6093546,,2018,7,Tehama,Corning Union Elementary,96021
52,71506,0,,2018,6,Tehama,Corning Union High,     
52,71506,5231709,,2018,7,Tehama,Corning Union High,96021
52,71522,0,,2018,6,Tehama,Evergreen Union,     
52,71522,114223,,2018,7,Tehama,Evergreen Union,96022
52,71522,6053516,,2018,7,Tehama,Evergreen Union,96022
52,71522,6111629,,2018,7,Tehama,Evergreen Union,96022
52,71548,0,,2018,6,Tehama,Gerber Union Elementary,     
52,71548,6053532,,2018,7,Tehama,Gerber Union Elementary,96035
52,71563,0,,2018,6,Tehama,Lassen View Union Elementary,     
52,71563,6053557,,2018,7,Tehama,Lassen View Union Elementary,96055
52,71571,0,,2018,6,Tehama,Los Molinos Unified,     
52,71571,6053565,,2018,7,Tehama,Los Molinos Unified,96055
52,71621,0,,2018,6,Tehama,Red Bluff Union Elementary,     
52,71621,6053623,,2018,7,Tehama,Red Bluff Union Elementary,96080
52,71621,6053631,,2018,7,Tehama,Red Bluff Union Elementary,96080
52,71621,6053656,,2018,7,Tehama,Red Bluff Union Elementary,96080
52,71621,6106686,,2018,7,Tehama,Red Bluff Union Elementary,96080
52,71639,0,,2018,6,Tehama,Red Bluff Joint Union High,     
52,71639,5237201,,2018,7,Tehama,Red Bluff Joint Union High,96080
52,71647,0,,2018,6,Tehama,Reeds Creek Elementary,     
52,71647,6053664,,2018,7,Tehama,Reeds Creek Elementary,96080
53,0,0,,2018,5,Trinity,,     
53,76513,0,,2018,6,Trinity,Trinity Alps Unified,     
53,76513,6053821,,2018,7,Trinity,Trinity Alps Unified,96093
54,0,0,,2018,5,Tulare,,     
54,10546,0,,2018,6,Tulare,Tulare County Office Of Education,     
54,10546,6069439,,2018,7,Tulare,Tulare County Office Of Education,93277
54,10546,6119291,,2018,9,Tulare,Eleanor Roosevelt Community Learning Cen,93292
54,71803,112458,,2018,9,Tulare,California Connections Academy@Central,93201
54,71837,0,,2018,6,Tulare,Burton Elementary,     
54,71837,122705,,2018,10,Tulare,Burton Elementary,93257
54,71837,6100267,,2018,7,Tulare,Burton Elementary,93257
54,71837,6114078,,2018,7,Tulare,Burton Elementary,93257
54,71860,0,,2018,6,Tulare,Cutler-Orosi Joint Unified,     
54,71860,6112684,,2018,7,Tulare,Cutler-Orosi Joint Unified,93647
54,71902,0,,2018,6,Tulare,Earlimart Elementary,     
54,71902,6054035,,2018,7,Tulare,Earlimart Elementary,93219
54,71993,0,,2018,6,Tulare,Lindsay Unified,     
54,71993,123646,,2018,7,Tulare,Lindsay Unified,93247
54,71993,123653,,2018,7,Tulare,Lindsay Unified,93247
54,71993,123661,,2018,7,Tulare,Lindsay Unified,93247
54,71993,5432414,,2018,7,Tulare,Lindsay Unified,93247
54,71993,6054142,,2018,7,Tulare,Lindsay Unified,93247
54,71993,6054159,,2018,7,Tulare,Lindsay Unified,93247
54,71993,6107262,,2018,7,Tulare,Lindsay Unified,93247
54,72009,0,,2018,6,Tulare,Monson-Sultana Joint Union Elementary,     
54,72009,6054167,,2018,7,Tulare,Monson-Sultana Joint Union Elementary,93618
54,72033,0,,2018,6,Tulare,Palo Verde Union Elementary,     
54,72033,6054191,,2018,7,Tulare,Palo Verde Union Elementary,93274
54,72058,0,,2018,6,Tulare,Pleasant View Elementary,     
54,72058,6054217,,2018,7,Tulare,Pleasant View Elementary,93257
54,72157,0,,2018,6,Tulare,Strathmore Union Elementary,     
54,72157,114595,,2018,7,Tulare,Strathmore Union Elementary,93267
54,72207,0,,2018,6,Tulare,Three Rivers Union Elementary,     
54,72207,6054423,,2018,7,Tulare,Three Rivers Union Elementary,93271
54,72215,0,,2018,6,Tulare,Tipton Elementary,     
54,72215,6054431,,2018,7,Tulare,Tipton Elementary,93272
54,72231,0,,2018,6,Tulare,Tulare City,     
54,72231,100495,,2018,7,Tulare,Tulare City,93274
54,72231,125211,,2018,7,Tulare,Tulare City,93274
54,72231,6054456,,2018,7,Tulare,Tulare City,93274
54,72231,6054464,,2018,7,Tulare,Tulare City,93274
54,72231,6054480,,2018,7,Tulare,Tulare City,93274
54,72231,6054514,,2018,7,Tulare,Tulare City,93274
54,72231,6054522,,2018,7,Tulare,Tulare City,93274
54,72256,0,,2018,6,Tulare,Visalia Unified,     
54,72256,110940,,2018,7,Tulare,Visalia Unified,93277
54,72256,5430046,,2018,7,Tulare,Visalia Unified,93292
54,72256,6054555,,2018,7,Tulare,Visalia Unified,93277
54,72256,6054589,,2018,7,Tulare,Visalia Unified,93291
54,72256,6054605,,2018,7,Tulare,Visalia Unified,93291
54,72256,6054654,,2018,7,Tulare,Visalia Unified,93277
54,72256,6054712,,2018,7,Tulare,Visalia Unified,93277
54,72256,6092795,,2018,7,Tulare,Visalia Unified,93277
54,72256,6106249,,2018,7,Tulare,Visalia Unified,93292
54,72256,6112049,,2018,7,Tulare,Visalia Unified,93277
54,72298,0,,2018,6,Tulare,Woodville Union Elementary,     
54,72298,6054779,,2018,7,Tulare,Woodville Union Elementary,93257
54,75325,0,,2018,6,Tulare,Farmersville Unified,     
54,75325,106021,,2018,7,Tulare,Farmersville Unified,93223
54,75325,5430210,,2018,7,Tulare,Farmersville Unified,93223
54,75325,6100275,,2018,7,Tulare,Farmersville Unified,93223
54,75523,0,,2018,6,Tulare,Porterville Unified,     
54,75523,6054225,,2018,7,Tulare,Porterville Unified,93257
54,75523,6054233,,2018,7,Tulare,Porterville Unified,93257
54,75523,6107379,,2018,7,Tulare,Porterville Unified,93257
54,76836,0,,2018,6,Tulare,Exeter Unified,     
54,76836,6110290,,2018,7,Tulare,Exeter Unified,93221
55,0,0,,2018,5,Tuolumne,,     
55,10553,0,,2018,6,Tuolumne,Tuolumne County Superintendent Of School,     
55,10553,129346,,2018,9,Tuolumne,Foothill Leadership Academy,95370
55,10553,5530142,,2018,7,Tuolumne,Tuolumne County Superintendent Of School,95370
55,72348,0,,2018,6,Tuolumne,Columbia Union,     
55,72348,6054860,,2018,7,Tuolumne,Columbia Union,95310
55,72363,0,,2018,6,Tuolumne,Jamestown Elementary,     
55,72363,6054902,,2018,7,Tuolumne,Jamestown Elementary,95327
55,72371,0,,2018,6,Tuolumne,Sonora Elementary,     
55,72371,6054910,,2018,7,Tuolumne,Sonora Elementary,95370
55,72389,0,,2018,6,Tuolumne,Sonora Union High,     
55,72389,5536503,,2018,7,Tuolumne,Sonora Union High,95370
55,72397,0,,2018,6,Tuolumne,Soulsbyville Elementary,     
55,72397,6054928,,2018,7,Tuolumne,Soulsbyville Elementary,95372
55,72405,0,,2018,6,Tuolumne,Summerville Elementary,     
55,72405,6054936,,2018,7,Tuolumne,Summerville Elementary,95379
55,72413,0,,2018,6,Tuolumne,Summerville Union High,     
55,72413,5536750,,2018,7,Tuolumne,Summerville Union High,95379
55,75184,0,,2018,6,Tuolumne,Big Oak Flat-Groveland Unified,     
55,75184,6054837,,2018,7,Tuolumne,Big Oak Flat-Groveland Unified,95321
56,0,0,,2018,5,Ventura,,     
56,10561,0,,2018,6,Ventura,Ventura County Office Of Education,     
56,10561,109900,,2018,9,Ventura,Vista Real Charter High,93030
56,10561,122713,,2018,9,Ventura,River Oaks Academy,91361
56,10561,135780,,2018,7,Ventura,Ventura County Office Of Education,93010
56,10561,135798,,2018,7,Ventura,Ventura County Office Of Education,93012
56,10561,6069231,,2018,7,Ventura,Ventura County Office Of Education,93012
56,72447,0,,2018,6,Ventura,Briggs Elementary,     
56,72447,6054977,,2018,7,Ventura,Briggs Elementary,93060
56,72454,0,,2018,6,Ventura,Fillmore Unified,     
56,72454,109520,,2018,7,Ventura,Fillmore Unified,93015
56,72454,5632021,,2018,7,Ventura,Fillmore Unified,93015
56,72454,6054993,,2018,7,Ventura,Fillmore Unified,93016
56,72454,6060321,,2018,7,Ventura,Fillmore Unified,93016
56,72462,0,,2018,6,Ventura,Hueneme Elementary,     
56,72462,5672462,,2018,7,Ventura,Hueneme Elementary,93041
56,72462,6055032,,2018,7,Ventura,Hueneme Elementary,93033
56,72462,6055040,,2018,7,Ventura,Hueneme Elementary,93033
